date;EURUSD;AUDUSD;EURCHF;EURGBP;EURJPY;NZDUSD;USDCAD
38847;-3.28423;-89.04375;-13.86731;-123.212257;-31.30292;0;-16.91217
38848;298.04104;188.4655;23.27684;192.691225;-31.30328;0;102.01298
38849;-23.74818;-41.27184;164.317733;78.400282;-31.30239;0;15.78231
38852;18.60754;-229.52544;-50.679597;7.923465;-31.30409;0;-49.00289
38853;15.90767;-75.3907;-25.50199;-49.279869;-31.30707;0;-39.60307
38854;214.35783;382.195783;67.427922;47.6737;-31.30925;0;174.49062
38855;108.50291;195.47298;-68.106184;25.681899;83.27804;0;-155.778805
38856;72.98813;247.86833;-29.34514;-49.403047;79.52314;0;2.140907
38859;118.30191;214.25727;77.051148;16.739596;-31.22479;0;119.01047
38860;41.58166;-94.05135;-120.65249;-31.656701;33.126;0;101.47651
38861;-153.3396;-8.7568;-46.720552;-71.081729;-31.22104;0;-21.14504
38862;-38.06391;-292.579059;-65.861268;16.685694;-31.28154;0;-350.16713
38863;138.66616;54.623179;-71.450522;-132.02763;49.78385;0;-54.71783
38866;4.2343;-8.697715;-9.98515;-0.874993;87.31982;0;-68.52171
38867;21.28008;-68.63194;-0.384709;25.411847;163.83672;0;-68.76478
38868;34.94603;445.465654;-31.125514;-114.440465;49.52143;0;143.79085
38869;88.50386;-48.96321;-57.912837;-14.006011;59.91263;0;32.090797
38870;-15.68266;-34.8758;70.72752;-5.237735;-31.27816;0;-78.98894
38873;-15.5156;87.09317;38.078876;-53.134346;22.3958;0;116.20961
38874;-224.92401;-284.40243;-6.156925;7.839494;-31.27309;0;-183.741648
38875;29.99297;35.64196;-44.53203;38.370978;-31.27214;0;104.14231
38876;-287.29456;120.546911;40.032847;16.535639;-31.2695;0;173.23115
38877;-2.8463;-72.20217;15.02292;20.97902;-31.28172;0;-53.69031
38880;-93.37039;99.622399;24.713287;113.353446;-31.28085;0;-31.85841
38881;1.90931;-12.99756;-42.845563;-31.578024;-31.28085;0;-208.082514
38882;-21.92007;36.5705;17.012282;29.862982;-31.27601;0;52.00521
38883;10.22049;-12.97087;-50.549224;47.45028;59.50823;0;50.59203
38884;44.15116;173.696599;-25.444639;-9.664382;71.79699;0;277.36706
38887;-76.81298;-29.30403;-81.100819;29.893614;-31.26805;0;-30.49814
38888;47.25086;96.732239;24.629278;-5.273798;-31.27799;0;8.83416
38889;-24.46498;36.58537;-31.105593;-83.987052;104.87201;0;-77.4594
38890;219.51801;305.713741;-25.319369;-70.668295;-31.26873;0;286.30149
38891;-132.18391;-103.27869;18.810944;-18.294808;-31.26466;0;165.66921
38894;95.00318;-24.55662;-21.483101;-79.105213;77.54907;0;10.155
38895;-0.47611;44.206735;43.719479;-0.867779;-31.26154;0;10.16949
38896;-93.78738;-0.82259;-8.052559;29.555794;-31.26306;0;-54.52699
38897;9.09076;-107.40346;-31.043998;-48.567546;-31.2628;0;-308.17667
38898;-195.195195;-92.58017;45.631167;64.178544;124.62421;0;174.09995
38901;23.00253;88.031013;-50.139702;-57.075322;-31.26078;0;-41.55498
38902;21.78377;-111.21967;-15.678576;68.346984;-31.2586;0;-87.65601
38903;-132.48468;120.400797;-29.062727;-13.838436;-31.2571;0;-48.0217
38904;41.85281;-114.38698;-21.407819;-39.722518;-31.25543;0;-48.59086
38905;-21.5824;-89.95802;78.100075;107.294281;-31.25535;0;-15.38946
38908;-137.08095;207.998715;-8.040227;-5.20306;-31.27009;0;268.72834
38909;84.26173;218.21078;16.856946;-57.182464;77.84719;0;-146.261327
38910;91.40739;98.894088;-32.91614;-26.87007;142.75002;0;86.6426
38911;25.02873;58.853159;103.387312;133.967407;-31.25894;0;-72.09754
38912;-45.5552;114.71057;-2.305446;47.084811;-31.25726;0;-96.19132
38915;-242.33716;183.734054;-56.05252;-48.793239;-31.25651;0;36.62096
38916;-94.08753;-109.58358;-55.91299;134.78819;-31.26062;0;-7.14443
38917;213.91139;187.2;-88.189257;-18.41836;36.329;0;-21.64921
38918;-16.65345;-108.42125;-15.64567;12.298322;99.16684;0;-42.8874
38919;-87.983476;94.88372;-0.382282;16.69058;-31.25095;0;-88.96403
38922;-9.97467;-102.25871;-53.730661;21.119944;-31.2531;0;-37.318663
38923;16.59685;90.786016;-25.128179;25.460186;-31.25062;0;44.14856
38924;177.26519;-209.443322;-51.716926;-22.816358;-31.25535;0;-137.96141
38925;-2.12066;3.147871;68.284991;38.561538;-31.25004;0;89.09586
38926;133.65754;-36.1531;-30.888129;-9.6675;-31.26036;0;-62.75652
38929;-2.82149;-4.697163;37.790587;12.273166;-31.26576;0;65.7418
38930;196.13044;124.55934;5.341405;-22.826373;175.10204;0;25.991937
38931;19.43233;113.041658;-21.343904;56.270332;-31.25818;0;-112.32366
38932;69.83829;64.90526;-30.827392;-14.1052;176.7101;0;-13.85804
38933;-11.71967;-34.23535;30.108237;92.345942;-31.25327;0;129.47731
38936;-22.5972;50.280207;-15.626787;74.808526;32.08556;0;-89.78676
38937;11.2167;-4.72689;-46.106362;-14.247128;-31.24955;0;47.60631
38938;120.57728;245.9209;-57.435559;-98.634519;90.56604;0;-59.42714
38939;86.98897;171.29002;-66.876924;34.64511;-31.2447;0;143.28835
38940;-94.71452;69.683683;-53.472556;70.355637;25.94595;0;-79.30221
38943;49.45443;323.098799;-7.973069;-63.099893;-31.24429;0;-12.54951
38944;152.0413;218.76634;-21.237327;-36.464973;44.06711;0;-25.80359
38945;-6.33322;-78.27789;71.803054;-45.21143;-31.24404;0;-158.86931
38946;20.554024;-178.11638;-72.457354;-62.700539;-31.24388;0;60.94084
38947;-66.04215;-75.86934;-19.34236;12.33444;-31.24127;0;100.75522
38950;-53.910861;-122.558006;16.725586;96.08886;-31.23989;0;-123.96029
38951;-176.18118;11.016104;-57.301154;69.888827;-31.236;0;-90.29345
38952;-63.82979;73.887753;26.207176;56.727531;-12.49328;0;-54.44255
38953;-14.56197;-59.90541;-51.582887;-67.32416;-31.24208;0;-83.11149
38954;-2.82198;-80.11634;12.903063;7.979667;-31.23584;0;4.86662
38957;-3.2814;-56.06591;16.702307;39.057877;-0.40024;0;91.26913
38958;38.63716;-43.99518;43.392205;43.567173;-31.23198;0;-37.62078
38959;25.95297;-73.25003;-13.701063;34.675914;57.46974;0;53.53763
38960;55.24603;-24.351287;-19.404916;-72.019205;-31.22696;0;-8.66817
38961;62.63146;-71.23102;-45.966241;-36.513685;-31.2303;0;-14.11509
38964;-14.46435;-29.9312;-19.352146;-27.546577;-31.23447;0;10.30089
38965;-58.99797;-101.797648;1.51676;-14.211274;-31.24249;0;99.2895
38966;39.84064;-114.34539;-15.548757;-111.271379;51.83499;0;-51.89189
38967;210.94394;307.623366;-9.85645;52.080268;-31.23552;0;115.61318
38968;-121.18343;-128.04878;16.697025;-22.954004;-31.24988;0;235.09461
38971;-40.619686;-36.751;1.517527;-80.091533;138.2544;0;-8.55676
38972;-13.90974;75.117871;-120.59884;109.666578;-31.23496;0;-44.27668
38973;7.08941;-97.48657;9.068467;-14.1844;-31.23617;0;-25.19252
38974;110.23869;-123.953809;-120.72245;92.578855;79.78084;0;-30.05367
38975;-178.39633;118.785044;42.996694;21.383386;-31.23552;0;-42.66051
38978;32.67767;-56.42982;-13.594139;-80.85056;-31.2352;0;15.02307
38979;84.75245;-32.51732;48.764506;70.376529;-31.23263;0;12.87093
38980;-24.1188;-4.78202;14.745545;-14.257708;-31.24413;0;47.29849
38981;-164.786154;-85.90997;-120.69972;-41.15717;-31.24143;0;-206.91504
38982;-19.67459;194.934889;179.997722;-67.653779;-31.23859;0;-35.43307
38985;118.93383;-21.88184;-0.380055;43.794316;-31.24086;0;10.20865
38986;-128.1122;134.962466;20.532059;61.80765;-31.24593;0;11.03901
38987;53.82013;5.1919;-66.771207;-90.202733;186.39529;0;-86.00469
38988;56.69291;43.256522;-26.8936;-58.474351;-31.23504;0;4.85917
38989;1.8917;119.9163;-17.398759;-31.819923;-31.23512;0;64.85294
38992;180.64921;-79.09846;45.072343;-49.548752;-31.23255;0;120.460331
38993;-1.64632;201.044246;12.866441;-58.71016;-31.23174;0;178.49826
38994;108.28959;-18.10744;-34.378109;12.449609;-31.23054;0;-67.079555
38995;-20.51774;-0.803622;-23.027268;-58.604156;-31.23512;0;4.79574
38996;-178.93401;92.044354;22.282089;190.92369;-31.23359;0;-8.52348
38999;16.19048;51.57824;-43.770281;-80.766841;-31.23062;0;-89.83477
39000;51.5087;19.336126;-55.000251;-67.473588;21.58417;0;182.25166
39001;35.37285;7.266659;24.102133;-0.886368;-31.23158;0;-37.456477
39002;11.48142;-124.630503;-9.790262;-31.975367;25.61879;0;-19.02078
39003;19.34267;15.175315;-17.3158;25.796122;-31.23182;0;115.50633
39006;13.89776;186.0835;10.921964;74.942009;-31.23455;0;-48
39007;-22.00395;7.15592;18.476389;92.978901;-31.23875;0;70.50158
39008;66.5964;7.154971;-41.820511;-0.894694;57.99825;0;-55.92192
39009;-157.479066;-111.83855;77.086823;-63.362684;-31.23973;0;-234.49132
39010;-24.21039;38.723954;14.730693;124.455321;-31.23665;0;-89.65898
39013;-110.45585;149.738552;1.509605;-45.615813;-0.40088;0;87.21085
39014;85.42114;-20.577217;-6.033107;-23.255121;-2.40256;0;122.022699
39015;-64.807167;-28.345713;-47.421309;-27.723126;-31.23359;0;-70.41377
39016;-125.677208;-45.11278;22.245683;16.971357;-0.39925;0;74.83821
39017;93.8753;-108.47573;35.462331;12.520122;-31.2303;0;-166.71134
39020;-16.49647;-59.203864;16.611923;84.352846;-31.23649;0;151.33215
39021;185.10688;239.41116;29.856011;3.587337;-31.23665;0;-38.40751
39022;-42.765837;-74.244026;-15.488063;-5.381005;-31.23738;0;-69.329288
39023;53.55465;111.58466;-13.575343;30.483249;-31.23584;0;60.30682
39024;-17.37579;139.422578;-54.938163;61.937105;113.48651;0;-85.35831
39027;32.53694;104.18556;-54.824699;-36.715322;61.37904;0;32.05779
39028;-124.56877;-80.05982;24.05382;-18.782982;19.54527;0;-59.63897
39029;-12.21613;34.24125;-19.160687;-32.194598;27.51745;0;-68.83843
39030;-11.49344;18.73536;41.020623;-94.541563;146.26412;0;-29.75031
39031;4.199981;-28.135258;-11.666416;66.020341;-31.22197;0;31.30804
39034;-133.99969;-142.38888;-56.808919;-72.072606;80.8401;0;162.87446
39035;-23.82955;-90.64625;-2.258583;-80.742953;-31.22529;0;-32.20414
39036;-19.19326;-8.623844;-32.285918;-67.224909;39.28312;0;25.80985
39037;1.8719;-90.58726;27.805263;43.342375;-31.22056;0;70.39047
39038;109.47368;-53.50378;40.974363;7.966717;-31.22221;0;33.58111
39041;-23.82027;-74.735312;18.435838;16.838498;-4.35989;0;77.91529
39042;15.44534;-94.087763;-0.37636;47.998578;-31.21985;0;-40.33596
39043;-17.93799;-94.33719;101.687227;-9.761581;-31.22229;0;-134.64236
39044;-28.253385;-20.141507;48.813713;-23.045559;-31.22505;0;-18.92081
39045;-266.326437;-147.089024;-4.166088;-27.46117;-31.22482;0;-140.48059
39048;20.58084;-20.012315;5.300955;3.540763;-31.151;0;-84.08116
